"Spira I1","un argument avec arctan pour z tq Re z>0"
"Spira I21","z_n = z_{n-1} + i z_{n-1}/|z_{n-1}|"
"Spira I22","|z_{n+1}|=\sqrt{|z_n|^2+1}"
"Spira I23","|z_n|=\sqrt{n+1}"
"Spira I3","\alpha_n est un argument de z_n"
"Spira II1","équivalent 1/2n\sqrt{n}"
"Spira II2a","suite U_n converge"
"Spira II2b","suite U - U_n dominée par V - V_n"
"Spira II31","suite U_n convergente"
"Spira II32","suite U - U_n dominée par 1/sqrt{n}"
"Spira III1","suite u_n équivalente à 7/(12 n sqrt{n})"
"Spira III2","développement suite \alpha_n"
"Spira IV1","infinité d'intersection avec la demi-droite"
"Spira IV2","suite v_n équivalente à (k\pi)^2"
"Spira IV3","développement"
