"ales92 1a1","f linéaire"
"ales92 1a2","degré max = n + m -1"
"ales92 1b","f(QA) = A^2 Q'"
"ales92 1c1","ker f = Vect(A) infinité racines"
"ales92 1c2","rg(f) = m"
"ales92 2a","(Y_i) base Im(f)"
"ales92 2b","coord -a_j (sauf pour j=i)"
"ales92 3a1","deg(Y_i) = n + i - 1"
"ales92 3a2","deg min = deg(A)-1 = n-1"
"ales92 3b1","div par A^2 => dans Im f"
"ales92 3b2","caractérisation S dans Im f"
"ales92 3b3","valeur max degré : 2n - 2"
"ales92 4a","primitives P/A + cste"
"ales92 4b","prim de Y_i/A^2 = X^i/A"
"ales92 5a1","Y_0 = -3X^2 + 1"
"ales92 5a2","Y_1 = -2X^3 + 1"
"ales92 5a3","Y_2 = -X^4 - X^2 + 2X"
"ales92 5b","S dans Im f"
"ales92 5c","prim (-X^2 - 2X + 1)/A"
"ales92 5d1","cond 2a+d=0; a/3 -b/2 -c/3 = e"
"ales92 5d2","méthode élimination"
