"Ealglin1 P1","noyaux emboîtés croissants"
"Ealglin1 P2","ker f^p = ker f^{p+1}=> stationnaire"
"Ealglin1 P3"," suite des dim des ker stationnaire"
"Ealglin1 P4","u nilpotent en dim n => u^n nul"
"Ealglin1 I1a1","g_n commute avec D_n"
"Ealglin1 I1a2","p<=n E_p stable par g_n"
"Ealglin1 I1a3","g_p^2 = lambda Id_p + D_p"
"Ealglin1 I1b1","g commute avec D"
"Ealglin1 I1b2","E_n stable par g_n"
"Ealglin1 I1b3","g_n^2 = lambda Id_n + D_n"
"Ealglin1 I2a1","D_F nilpotent"
"Ealglin1 I2a2","en déduire F=E_n"
"Ealglin1 I2a3","les sev stables sont les E_k"
"Ealglin1 I2b","stable par g <=> stable par D" 
"Ealglin1 I3a","degré 0 existe g_0 => lambda >= 0"
"Ealglin1 I3b1","pas de g tq ..."
"Ealglin1 I3b2","pour tout n pas de g_n ..."
"Ealglin1 I4a","existe y tq (y;f(y); ...) base"
"Ealglin1 I4b","choisir Y de degré n pour (Y;D(Y);...) base"
"Ealglin1 I5a1","existe a b c => h commute"
"Ealglin1 I5a2","h commute => existe a b c"
"Ealglin1 I5b1","(Id_;D_2;D_2^2) libre"
"Ealglin1 I5b2","(Id_;D_2;D_2^2) ev des endo de E_2"
"Ealglin1 I5c","exactement 2 g tq ..."
"Ealglin1 II1a1","g_n nilpotent"
"Ealglin1 II1a2","dim(ker(g_n)) >= 2"
"Ealglin1 II1b1","pas de g_n tq g_n^2 = D_n"
"Ealglin1 II1b2","pas de g tq g^2 = D"
"Ealglin1 II2a","D et g surjectifs"
"Ealglin1 II2b","ker g^q de dimension finie"
"Ealglin1 II2c1","Phi linéaire de ker g^p dans ker g^{p-1}"
"Ealglin1 II2c2","noyau ker g; image ker g^{p-1}"
"Ealglin1 II2c3","dim(ker g^p) = dim(ker g^{p-1}) + dim(ker g)"
"Ealglin1 II2c4","dim(ker g^p) = p dim(ker g)"
"Ealglin1 II3","existe g <=> k divise m"
"Ealglin1 III1a","dl à tous les ordres par Taylor"
"Ealglin1 III1b1","1 1/2 -1/8"
"Ealglin1 III1b2","b_3 = 1/16"
"Ealglin1 III1b3","preuve formule coeff bin"
"Ealglin1 III1c","preuve valeurs somme"
"Ealglin1 III2","g_n^2 = ..."
"Ealglin1 III31","lambda > 0 préciser g_n tq ..."
"Ealglin1 III32","somme infinie qui ne l'est pas ..."
