"alglin20 I1a1","varphi linéaire"
"alglin20 I1a2","image = somme"
"alglin20 I1b","A\cap B x ->(x;-x)"
"alglin20 I1c","dim(A + B) = ..."
"alglin20 I2","dim(Vect(Au{x})) = dim(A) + 1"
"alglin20 I3","A \cap B hyperplan de B"
"alglin20 I4","tout sev est inclus dans un hyperplan"
"alglin20 II11","\varphi_f linéaire et injective"
"alglin20 II12","dim(Im \varphi_f) = dim A"
"alglin20 II2","A_f supplémentaire de B"
"alglin20 II3","A_f = A_g => f = g"
"alglin20 II4","A_f = A_1"
"alglin20 II5","bijection sur les supplémentaires de B"
"alglin20 II6","l'ensemble des hyperplans est infini"
"alglin20 III1a","base incomp => exists b1"
"alglin20 III1b","\beta_i \neq 0"
"alglin20 III1c","exists \lambda tq ..."
"alglin20 III2","E pas union hyperplans"
"alglin20 III3","union A_i pas E"
"alglin20 III4a","cas des hyperplans"
"alglin20 III4b","cas général"
