"alglin27 I1a","cours: trace endo"
"alglin27 I1b","cours; prjcteur; prjction; relation"
"alglin27 I1c1","tr(p) = rg(p)"
"alglin27 I1c2","Im(p) = ker(p-Id)"
"alglin27 I1c3","ker(p) = Im(p-Id)"
"alglin27 I2a1","poq = q <=> Im(q) dans Im(p)"
"alglin27 I2a2","poq = p <=> ker(q) dans ker(p)"
"alglin27 I2b1","p R q <=> ker(q) dans ker(p) et Im(p) dans Im(q)"
"alglin27 I2b2","R relation d'ordre"
"alglin27 I2c","p-\lambda Id bij si \lambde neq 0 et 1"
"alglin27 I3a","crochet: trace; antisym; linéarité"
"alglin27 I3b","identité de Jacobi"
"alglin27 I3c","stabilité et déterminant"
"alglin27 II1","p_0 projecteur"
"alglin27 II2a1","base ker(p_0)"
"alglin27 II2a2","base Im(p_0)"
"alglin27 II2b","base et matrice de p_0"
"alglin27 II3","matrice de q tq p_0 R q"
"alglin27 III1a","[f^k;g] = \alpha k f^k"
"alglin27 III1b1","(Id;f;...;f^k) libre"
"alglin27 III1b2","f nilpotent"
"alglin27 III2","[f;g] dans vect(g) => g nilpotent"
"alglin27 III3a","alpha et beta non nuls"
"alglin27 III3b1","expression de [f;g]"
"alglin27 III3b2","en déduire alpha(1 - alpha)f = ..."
"alglin27 III3b2","en déduire beta(1 - beta)g = ..."
"alglin27 III3c","alpha=1 => fog = f et gof = g"
"alglin27 III3d","alpha neq 1 => fog = g et gof f"
"alglin27 III3e","conclusion"
"alglin27 III4a","matrice de g tq [p_0;g] = -p_0 + g"
"alglin27 III4b","matrice de g tq [p_0;g] = p_0 - g"
