"alglin7 1a","E_a sous-espace"
"alglin7 1b","dim E_a = 3"
"alglin7 2a","K sev de E_a"
"alglin7 2b","4v_{n+2}-4av_{n+1}+v_n = 0"
"alglin7 2c","F_a sev de E_a"
"alglin7 31","cas 0 <= a <1"
"alglin7 32","cas a=1"
"alglin7 33","cas 1 < a"
"alglin7 4","K dans F_a <=> a = 5/4"
"alglin7 5a","K et F_a supplémentaires dans E_a"
"alglin7 5b","bases en ajoutant la suite cste"
"alglin7 61","(n) dans E_a0"
"alglin7 62","base de E_a0"
"alglin7 71","cas a = cos theta"
"alglin7 72","cas a = 1"
"alglin7 73","cas a = ch theta"
