"anneauxquad I1","j^ = -j -1 p=q=-1"
"anneauxquad I21","q non nul"
"anneauxquad I22","p^2+4q non nul"
"anneauxquad I23","conjugué"
"anneauxquad I24","somme = p ; produit = -q"
"anneauxquad I25","alpha' dans anneau; conjugué; -sqrt{d}"
"anneauxquad I3a","sous-anneau"
"anneauxquad I3b","unicité couple"
"anneauxquad I4a1","norme à valeurs dans Z"
"anneauxquad I4a2","norme d'un produit"
"anneauxquad I4b","non réel : carré module"
"anneauxquad I4c","a^2 - b^2 + ab"
"anneauxquad II1","z divise => N(z) divise"
"anneauxquad II2a1","inversible => norme 1"
"anneauxquad II2a2","norme 1 => inversible"
"anneauxquad II2a3","non réel U complexes de module 1"
"anneauxquad II2b1","Ii: 1 -1 i -i"
"anneauxquad II2b2","Ij: 1 j -j -j^2 ..."
"anneauxquad II2b3"," -1 1 si d >= 2"
"anneauxquad II2c"," inversibles pour nb or"
"anneauxquad II2d","diviseur de m norme => associé"
"anneauxquad II31","N premier => irréductible"
"anneauxquad II32","exple premier non irréd"
"anneauxquad II4a","pas de z de norme 2 ou 3 dans Z[sqrt 6]"
"anneauxquad II4b","2; -3; ... irréductibles"
"anneauxquad II4c","thm Gauss faux dans Z[sqrt{6}]"
"anneauxquad II5a","restes des carrés 0 1 4 5 6"
"anneauxquad II5b","2; 3; 4+sqrt{10} ... irréductibles"
"anneauxquad II5c","thm Gauss faux dans Z[sqrt{10}]"
"anneauxquad III1","approx entière 1/2"
"anneauxquad III2","approx => euclidien"
"anneauxquad III3a","1; \alpha base sur R"
"anneauxquad III3b","majo erreur par (1+|p|+|q|)/4"
"anneauxquad III3c","Z euclidien pour i j i\sqrt{2}"
"anneauxquad III4a1","forme carré norme"
"anneauxquad III4a2","anneau euclidien"
"anneauxquad III4b","euclidien pour alpha^2=alpha -3"
"anneauxquad IV11","pres algo Euc"
"anneauxquad IV12","terminaison"
"anneauxquad IV13","invariant"
"anneauxquad IV2","tableau alg euc étendu"
"anneauxquad IV31","Bezout"
"anneauxquad IV32","Gauss"
"anneauxquad IV4a","a impair"
"anneauxquad IV4b","étrangers"
"anneauxquad IV4c","décomposition"
"anneauxquad IV4c2","euclien inutile"
"anneauxquad IV4d","x+i\sqrt{2} est un cube"
"anneauxquad IV4d2","euclidien utilisé"
"anneauxquad IV4e","(5;3) seules solutions"
"anneauxquad IV5a","3; 1+i... irréductibles"
"anneauxquad IV5b","pas un cube malgré rel"
