"approx1 I1a","y1(t)=t^3/6"
"approx1 I1b","y_n croissante nulle en 0"
"approx1 I1c","0<=t<=1 => 0<=y_n(t)<=1"
"approx1 I2a","suite y_n(t) crsste. cvgte"
"approx1 I2b","0<=t<=1 => 0<=y(t)<=1"
"approx1 I2c","y 1-lip"
"approx1 I3a","encadrement y_{n+1}-y_n"
"approx1 I3b","encadrement y-y_n"
"approx1 I3c","encadrement intégrale"
"approx1 I4a","expression intégrale de y"
"approx1 I4b1","formule en 1"
"approx1 I4b2","y sol équ. diff."
"approx1 II1a1","justif M"
"approx1 II1a2","majoration u"
"approx1 II1b","inégalité"
"approx1 II2a","majoration par exp"
"approx1 II2b","maj u (Gronwall)"
"approx1 II3","y=z"
"approx1 III1","1+x<=e^x"
"approx1 III2a","e_n <= E_n"
"approx1 III2b","majoration e_n"
"approx1 III3","majoration intégrale"
"approx1 III4","expression e_{i+1}"
"approx1 III5a1","0<= e_i (récurrence)"
"approx1 III5a2","u_i entre 0 et 1"
"approx1 III5b","majoration e_{i+1}"
"approx1 III61","maj e_i avec N"
"approx1 III62","e_i <= h(e-1)"

