"approxrec I 1","graphe de f"
"approxrec I 2","f bijective"
"approxrec I31","g croissante impaire"
"approxrec I32","graphe"
"approxrec I41","g; dérivable"
"approxrec I42","dérivée de g; variations"
"approxrec II1","Intersection Dx tangente. En ded."
"approxrec II2a","signe de phi_x(t)-t"
"approxrec II2b","dérivée de phi_x et signe"
"approxrec II2c","stabilité intervalle"
"approxrec II2d1","inégalité 1"
"approxrec II2d2","inégalité 2"
"approxrec II3a1","u_n(x) définie et décroissante"
"approxrec II3a2","converge vers g(x)"
"approxrec II3b","encadrement de l'erreur"
"approxrec II3c","majoration beta"
"approxrec II3d1","vérifier relation"
"approxrec II3d2","encadrement quadratique"
