"ari2car prel","Z[i] sous-anneau"
"ari2car I1a","|z|^2 dans N et multiplicatif"
"ari2car I1b","n dans Sigma ssi n = |u|^2 stab pour produit"
"ari2car I1c","u G-div z => |u|^2 div |z|^"
"ari2car I2a","1 -1 i -i inversibles"
"ari2car I2c1","G-invers => norme 1"
"ari2car I2c2","inversibles = 1 -1 i -i "
"ari2car I3a1","1+i G-irr"
"ari2car I3a2","5 = |1+2i|^2 pas G-irr"
"ari2car I3a3","dans Sigma => pas G-irr"
"ari2car I3b1","G-diviseur G-irréductible"
"ari2car I3b2","décompo en G-irréd."
"ari2car I4a","approx entière à 1/2"
"ari2car I4b","G-div euclidienne"
"ari2car II1","cos = -soc = r"
"ari2car II21","Z[i]u réseau"
"ari2car II22","Z[i]u 4-symétrique"
"ari2car II23","justification terme 'carré'"
"ari2car II3b1","S_n réseau"
"ari2car II3b2","T_n réseau"
"ari2car II3b3","S_n 4-sym ssi n = 2"
"ari2car II4a","u dans R => zu dans R"
"ari2car II4b","u_0 de norme non nulle minimale"
"ari2car II4c1","R = Z[i] u_0"
"ari2car II4c2","|u_0|=1 ssi R = Z[i]"
"ari2car III1a","R_a réseau"
"ari2car III1b1","R_0 = T_p"
"ari2car III1b2","R_1 = S_p"
"ari2car III1v","R_a = R_b <=> a cong b mod p"
"ari2car III2a","existe q' tq aa' cong 1 mod p"
"ari2car III2b1","c(R_a) = R_{-a}"
"ari2car III2b2","s(R_a) = R_{a'}"
"ari2car III2c","a' cong -a (p) => R_a carré"
"ari2car III2d","p=17 a = 4 17 = a^2 + 1"
"ari2car III3a","Im(zbarre z') dans Z"
"ari2car III3b","R_a => mult de p donc pas Z[i]"
"ari2car III3c","existe u et u' tq Im(ubarre u')=1"
"ari2car III4a","R_a est carré"
"ari2car III4b","p est dans Sigma"
"ari2car IV1a","P_c dans Sigma"
"ari2car IV1b","valuation paire sur comp(P_c) => dans Sigma"
"ari2car IV2a","existe lambda et mu"
"ari2car IV2b","expressions x et y avec f de Cramer"
"ari2car IV2c","relation: donc p dans P_c"
"ari2car IV31","p pas dans P_c => p G-irréductible"
"ari2car IV32","équivalence entre les trois prop"
"ari2car IV4a","G-algo d'Euclide"
"ari2car IV4b","G-pgcd et G-Bezout"
"ari2car IV4c","pgcd de 5+5i et -3+4i = 1+2i"
"ari2car IV5a","G-thm Gauss"
"ari2car IV5b","p pas ds P_c divise n ds Sigma=> v_p(n) paire"
"ari2car V1a1","p-x dans I"
"ari2car V1a2","x' dans I"
"ari2car V2","relation d'équivalence"
"ari2car V3a","pas de solution"
"ari2car V3b","solutions 1 et p-1"
"ari2car V3c1","solutions a et p-a"
"ari2car V3c2","pas de a => pas de solution"
"ari2car V41","factorisation: (x^2-y^2)(x^2y^2-1)"
"ari2car V42","classe x p-x x' p-x'"
"ari2car V5","preuve par ppe berger"
