"arigeo I1","Phi croissante"
"arigeo I2","intégrale = pi/4"
"arigeo I3a","inégalité acc finis"
"arigeo I3b","Phi lipschitzienne"
"arigeo I4","Phicontinue"
"arigeo II1a","définie et dans [0;pi/2]"
"arigeo II1b1","u classe C^1"
"arigeo II1b2","u bijective"
"arigeo II1c","bij récip classe C^1"
"arigeo II21","cos(u(t))="
"arigeo II22","Phi(x) = "
"arigeo II31","égalité"
"arigeo II32","I(a;b) = I((a+b)/2;sqrt(ab))"
"arigeo III1","suites adjacentes"
"arigeo III2","convergence quadratique"
"arigeo II3","mu = pi/(2I(a;b))"
