"arithfonc I1a1","beta(6) = 15"
"arithfonc I1a2","sigma * mu(12) = 12"
"arithfonc I1b1","e * e = d"
"arithfonc I1b2","I * e = sigma"
"arithfonc Ic1","phi(p)+sigma(p)=pd(p)"
"arithfonc Ic2","mu*e(p) = 0"
"arithfonc I2a","commutativité de *"
"arithfonc I2b","e_0 est élément neutre"
"arithfonc I2c","associativité de *"
"arithfonc I3a1","injectivité D(m)xD(n)-> D(mn)"
"arithfonc I3a2","surjectivité D(m)xD(n)-> D(mn)"
"arithfonc I3b","f et g mult. => f*g mult."
"arithfonc I3c1","I e_0 e multiplicatives"
"arithfonc I3c2","d multiplicative (P bij)"
"arithfonc I3c3","sigma multiplicative (=I*e)"
"arithfonc I3c4","mu multiplicative"
"arithfonc I41","valeur non nulle pour produit"
"arithfonc I42","valeur 0 si < pdt"
"arithfonc II1a","mu*e=e_0 (multiplicativité)"
"arithfonc II1b1","f=g*e => g=f*mu"
"arithfonc II1b2","g=f*mu => f=g*e"
"arithfonc II2a1","k->delta k: à valeurs dans Delta"
"arithfonc II2a2","k->delta k: injective"
"arithfonc II2a3","k->delta k: surjective"
"arithfonc II2a3","card(F)=card(Delta)=phi(d)"
"arithfonc II2b1","a non diviseur: pas de solution"
"arithfonc II2b2","a diviseur: phi(n/a) solutions"
"arithfonc II2c1","I = e*phi"
"arithfonc II2c2","I = e*phi => phi = I*mu"
"arithfonc II2d","beta*e = I*I"
"arithfonc II3a","sigma*phi = I*I"
"arithfonc II3b","phi(n)+sigma(n)=nd(n) => n premier" 
