"autoalgmat I11","taille matrice élt de L"
"autoalgmat I12","dim L"
"autoalgmat I2a","Phi_{A B} linéaire"
"autoalgmat I2b1","une conjug est bijective"
"autoalgmat I2b2","une conjug est un morphisme"
"autoalgmat I3a",calcul Pl^{-1}APl"
"autoalgmat I3b","inv par ttes conj => scalaire"
"autoalgmat I41","transposition linéaire"
"autoalgmat I42","matrice transposition"
"autoalgmat II1","A_i colinéaires => longueur 1"
"autoalgmat II2a1","image E1"
"autoalgmat II2a2","image E2"
"autoalgmat II2a3","image E3"
"autoalgmat II2a4","image E4"
"autoalgmat II2a5","matrice et blocs"
"autoalgmat II2b","composition"
"autoalgmat II3a","expression des Ui"
"autoalgmat II3b","Matrice de somme de Vi Ei"
"autoalgmat II4a","tt endo admet une 4-décomp"
"autoalgmat II4b","décomp minimale libre"
"autoalgmat II51","décomp de transpo"
"autoalgmat II52","pas de 3-décomp pour transpo"
"autoalgmat II6a","A libres => identif des B"
"autoalgmat II6b","B libres => identif des A"
"autoalgmat III1a1","Gamma(I)=I"
"autoalgmat III1a2","Gamma(X)=I => X=I"
"autoalgmat III1b1","X inversible => Gamma(X) inversible"
"autoalgmat III1b2","Gamma(X) inversible => X inversible"
"autoalgmat III2a1","YBi = BiGamma(Y)"
"autoalgmat III2a2","AiY = Gamma(Y)Ai"
"autoalgmat III2b","calcul -> AiBj"
"autoalgmat III3a","AiBj scalaire"
"autoalgmat III3b1","existe i tq lambda_{ii} non nul"
"autoalgmat III3b2","A1 inversible"
"autoalgmat III3b3","B1=lambda_{11}A1^{-1}"
"autoalgmat III4","Gamma est une conjugaison"
