"beatty I1a1","j = E(kr) = E(ms) => j<k+m<j+1"
"beatty I1a2","donc V(s) et V(r) disjoints"
"beatty I1b","j notin V(r) => exist k: kr<j j+1<=(k+1)r"
"beatty I1c","... => k+m < j < k+m+1"
"beatty I1d","partition méthode 1"
"beatty I2a","M(1/r) et M(1/s) disjoints"
"beatty I2b1","nb M(1/r) <= j/r : j"
"beatty I2b2","nb M(1/s) <= j/r : E(sj/r)"
"beatty I2c","nb élts dans union: = E(js)"
"beatty I2d","partition méthode 2"
"beatty II1","(x_n) croiss et (y_n) decroiss"
"beatty II2","(a_n) de Beatty => x_n < y_n"
"beatty II3a1","x_n et y_n cvgent"
"beatty II3a2","limites égales"
"beatty II3b","réciproque"
"beatty II3c1","y_n = 2"
"beatty II3c2","a_n pas de Beatty"
