"bernsomm I11","P_n = X^n"
"bernsomm I21","existence et unicité"
"bernsomm I22","B_1 = X -1/2"
"bernsomm I23","B_2 = X^2-X+1/6"
"bernsomm I24","B_3 = X(X-1)(X-1/2)"
"bernsomm I25","degré B_n = n"
"bernsomm I26","coeff. dominant = 1"
"bernsomm I3a","B_n(0)=B_n(1) pour n>=2"
"bernsomm I3b","symétrie"
"bernsomm I3c","nuls en 0 1/2 1 pour n impair >=3"
"bernsomm I41","récurrence impair>=3: B_n non nul entre 1 et 1/2"
"bernsomm I42","B_m - beta_m signe constant pour m pair"
"bernsomm I5a","b_n classe C infinie et b_n'"
"bernsomm I5b","b_1 localt intégrable"
"bernsomm I5c1","b_2 continue"
"bernsomm I5c2","b_n classe C n-2"
"bernsomm II1","cours f de Taylor"
"bernsomm II21","expression R_1"
"bernsomm II22","somme en fonction de R_1"
"bernsomm II31","formule sommatoire IPP"
"bernsomm II32","R_2 en fonction de R_1"
"bernsomm II33","formule Euler-Mac Laurin"
"bernsomm II41","expression R_{2p+2}"
"bernsomm II42","majoration R_{2p+2}"
"bernsomm II5","expression somme k^4"
