"bernst I1","k-1 parmi n-1"
"bernst I21","P2 <=> P3"
"bernst I22","P1 => P2"
"bernst I3","reste de Lagrange"
"bernst II1","expression = B^n_k"
"bernst II21","f(x)=1 : f_n(x)=1"
"bernst II22","f(x)=x : f_n(x)=x"
"bernst II23","f(x)=e^x : f_n(x)=(e^(1/n)x+1-x)^n"
"bernst II3a","x(x-1)/nf'_n(x) = g_n(x)-xf_n(x)"
"bernst II3b","f(x)=x^2 : f_n(x)=x^2+x(1-x)/n"
"bernst II4","x(1-x)/n comme une somme"
"bernst III11","B^n_k' pour k=0"
"bernst III12","B^n_k' pour k entre 1 et n-1"
"bernst III13","B^n_k' pour k=n"
"bernst III2","expression f_n' comme somme avec Delta"
"bernst III3","f croissante => f_n croissante"
"bernst IV1a","existence M_2 car f'' continue"
"bernst IV1b","inégalité"
"bernst IV1c","preuve de P1"
"bernst IV2a","inégalité pour somme sur k dans K_\alpha(x)"
"bernst IV2b1","majoration différence"
"bernst IV2b2","preuve de P3"
