"billard 11","angle alpha"
"billard 12","pi/2 < alpha < pi + pi/2"
"billard 2","e^{i(2alpha + pi)}"
"billard 3a","droite passant pa M_0 de dir v_0"
"billard 3b1","z_1=e^{i(2\alpha -pi)}z_0"
"billard 3b2","-alpha + pi arg de v_0/z_1"
"billard 4","somme des arg congrue à pi mod 2pi"
"billard 51","beta = 2alpha -pi"
"billard 52","beta entre 0 et 2pi"
"billard 6","2|cos(alpha)|"
"billard 71","alpha/pi rationnel"
"billard 72","polygone régulier"
"billard 81","z_{k+1}/z_k = conj( z_{k-1}/Z_k)"
"billard 82","z_{k+1} = "
"billard 83","Si z_k = ... conclusion"
