"calloc1 1a","f_1 prolongeable par continuité : e"
"calloc1 1b","f paire"
"calloc1 1c1","dl exposant"
"calloc1 1c2","dl méthode composition"
"calloc1 1c3",dl e; -e/6"
"calloc1 1c4","dl 4e/45"
"calloc1 1d1","expression dérivée"
"calloc1 1d2","étude des variations"
"calloc1 1d3","f' -> 0 en 0"
"calloc1 1d4","f' -> 0 en +\infty"
"calloc1 1d5","tracé graphe"
"calloc1 1d6","justif graphe au dessus parabole"
"calloc1 2a","H continue"
"calloc1 2b1","régularité dans R sans 0"
"calloc1 2b2","H'(0) = 0"
"calloc1 2b3","H''(0) = -e/9"
"calloc1 2c","H(x) >= f(x)"
"calloc1 2d","H -> 1 en +\infty"
"calloc1 3a","existence et prop bij récip G"
"calloc1 3b1","G dérivable"
"calloc1 3b2","existe v TAF"
