"cantbern 11","caractérisations: y dans f(A) ; b dans g(X)"
"cantbern 12","caractérisation images réciproques"
"cantbern 2a","f_1 et g_1 bijectives"
"cantbern 2b","phi et psi bijectives"
"cantbern 3a1","x pas dans f(A) => g(x) pas dans A"
"cantbern 3a2","preuve de =>"
"cantbern 3a3","preuve de <="
"cantbern 3b","équivalence par contraposition"
"cantbern 4a1","vide dans Hcal"
"cantbern 4a2","complémentaire de g(F) dans Hcal"
"cantbern 4b1","image réciproque union"
"cantbern 4b2","image directe union"
"cantbern 4b3","en déduire B (union) dans Hcal"
"cantbern 5a","a pas dans B => B union {a} pas dans Hcal"
"cantbern 5b","E\B = g(F\f(B))"
"cantbern 6","thm de Cantor-Bernstein"
