"cayleyh I11","x^4+dx^3+cx^2+bx+a"
"cayleyh I12","x(x^2+a^2+b^2+c^2)"
"cayleyh I21","degré n"
"cayleyh I22","coeff dom : 1"
"cayleyh I23","coeff ded n-1 : -tr A"
"cayleyh I24","coeff deg 0 : (-1)^n det A"
"cayleyh I3a","coeff de h = tr(trans Com(B))"
"cayleyh I3b","coeff deg 1: (-1)^(n-1) tr(Com(A))"
"cayleyh II11","B_i nulles"
"cayleyh II12","ppe identification"
"cayleyh II2","développement polynôme matriciel"
"cayleyh II3","relations"
"cayleyh II4a","expression des C_i"
"cayleyh II4b","Th Cayley-Hamilton"
"cayleyh III1a","développement par Taylor"
"cayleyh III1b","P'(x)= tr(C(x))"
"cayleyh III2","tr C_j"
"cayleyh III3","trace des puiss nulles => A nilpotente"
