"chebydiam I1a","X^3-3/4X X^4-X^2+1/8"
"chebydiam I1b","degré P_n = n"
"chebydiam I1c","P_n(cos(theta)= cos(n theta)"
"chebydiam I1d","racines de P_n simples"
"chebydiam I1e","n+1 extrema"
"chebydiam I2a","tracé des courbes"
"chebydiam I2b","pas de poly P tel que ..."
"chebydiam I2c","sup[-1;1]|T_n| <= ..."
"chebydiam I2d1","produit scalaire"
"chebydiam I2d2","famille orthonormée"
"chebydiam II1a1","d2 : maj par 2R"
"chebydiam II1a2","d3 : maj par 2R"
"chebydiam II1b","d_3<= d_2 def sup"
"chebydiam II1c1","sup ... <= d_3"
"chebydiam II1c2","d_3 <= sup ..."
"chebydiam II2","a-segment: d_3 = a 4^{-1/3}"
"chebydiam II3a","AB = 2R sin (beta - alpha)/2"
"chebydiam II3b","max fonction en (alpha + gamma)/2"
"chebydiam II3c","variation varphi"
"chebydiam II3d1","d3 <= sqrt{3}R"
"chebydiam II3d2","sqrt{3}R <= d3"
"chebydiam III1a","D_{n+1} <= ..."
"chebydiam III1b1","D_{n+1}^{n+1}<= ..."
"chebydiam III1b2","en déduire ..."
"chebydiam III1c","(d_n) déc >0 dc cvgte"
"chebydiam III2a","m_n = 2^{-1+1/n}"
"chebydiam III2b","m_n ->1/2"
"chebydiam III2c","à la Cesaro"
"chebydiam III3a","égalité déterminants"
"chebydiam III3b","inégalité par maj du dévelpt"
"chebydiam III3c","inégalité par déf borne sup"
"chebydiam III3d","inégalité par d_{n-1}/d_n <= 1"
"chebydiam III3e1","m <= d"
"chebydiam III3e2","d <= m par 2.c. à la Césaro"
