"comcyc I1","Le commutant est une sous-algèbre"
"comcyc I2","P(f) commute avec f"
"comcyc I3a","existe Q de degré <m"
"comcyc I3b","unicité de Q"
"comcyc II1","existence et 1<= mu(a) <=m"
"comcyc II21","(a;f(a);...) libre"
"comcyc II22","dim V(a) = mu(a)"
"comcyc II3a","m <= n"
"comcyc II3b","cyclique <=> m=n"
"comcyc II4","g commute => g est un polynôme en f"
"comcyc II51","base de ker f^k"
"comcyc II52","dim (ker f^k) = k"
"comcyc III1","inclusions strictes"
"comcyc III21","fonction de U_{k+1} dans U_k"
"comcyc III22","injectivité"
"comcyc III3a","décroissance des u_k"
"comcyc III3b","somme des u_k = dim E"
"comcyc III4","cyclique ssi les u_k=1"
"comcyc III5a1","u_k = 2 1 1 ..."
"comcyc III5a2","Existence de a et b tels que ..."
"comcyc III5b","Construction g qui commute sans être un polynôme"
"comcyc III6","Cas général construction de g ..."
"comcyc III7a1","famille libre"
"comcyc III7a2","existence de a_3"
"comcyc III7b1","famille libre"
"comcyc III7b2","existence de a_4"
"comcyc III7c","Preuve de résultat admis en 6"
