"Ecomp12 I11","-1+2i"
"Ecomp12 I12","1+2i"
"Ecomp12 I2a","g+e^{itheta}(z-g)"
"Ecomp12 I2b","somme = ng"
"Ecomp12 I3a","n-1 prem conditions"
"Ecomp12 I3b","n-2 prem conditions"
"Ecomp12 I4","condition équil. direct"
"Ecomp12 I5a1","carré direct: relation 1"
"Ecomp12 I5a2","carré direct: relation 2"
"Ecomp12 I5b1","=> nelle rel 1"
"Ecomp12 I5b2","=> nelle rel 2"
"Ecomp12 I5b3","réciproque"
"Ecomp12 I5b4","interprétation géométrique"
"Ecomp12 II1","K=2\sqr{3}"
"Ecomp12 II2","condition alignement"
"Ecomp12 II3a","non déf ssi equil. indi."
"Ecomp12 II3b","|W|=1 ssi A B C alignés"
"Ecomp12 II4a","direct. semblable => conservation"
"Ecomp12 II4b","même W => dirct. semblable"
"Ecomp12 II51","défini ssi pas équil. direct"
"Ecomp12 II52","inverse du conjugué"
"Ecomp12 III1a","construction des points"
"Ecomp12 III1b","même centre de gravité"
"Ecomp12 III1c","rectangles et isocèles"
"Ecomp12 III2a1","c=i"
"Ecomp12 III2a2","a= (x-1-(x+1)i)/2"
"Ecomp12 III2a3","b= (x+1+i(x-1))/2"
"Ecomp12 III2b","droites pour A et B fixe pour C"
"Ecomp12 III3a1","1+\sqrt{3}"
"Ecomp12 III3a2","(1+\sqrt{3})j"
"Ecomp12 III3a3","(1+\sqrt{3})j^2"
"Ecomp12 III3b","multiplié par 1+\sqrt{3}"
"Ecomp12 III3c","multiplié par 1-\sqrt{3}"
"Ecomp12 III3d","dir. semblable => équilatéral"
"Ecomp12 III3e1","équilatéral => dir. semblable"
"Ecomp12 III3e2","centre"
"Ecomp12 III3e3","rapport"
"Ecomp12 III3e4","angle"
