"comp14 11","a et b distincts et non conjugués"
"comp14 12","|u|^2 = |v|^2 ssi quotient imaginaire"
"comp14 13","médiatrice de u v"
"comp14 14","caractérisation cercle par diamètre"
"comp14 211","discriminant = |a - bbarre|^2 > 0"
"comp14 212","deux solutions réelles"
"comp14 22a","(-|| - ||)/(2Im(b) et (-|| + ||)/(2Im(b)"
"comp14 22b1","Im(a)>0 => k+(1)<0"
"comp14 22b2","Im(a)>0 => 0 < k+(2) < 1"
"comp14 22c","Im(a)<0 => k+(1) < k+(2) < 0"
"comp14 23a","(+|| - ||)/(2Im(b) et (+|| + ||)/(2Im(b)"
"comp14 23b1","Im(a)>0 => k-(1) < 0"
"comp14 23b2","Im(a)>0 => 1 < k-(2)"
"comp14 23c1","Im(a)<0 => 0 < k-(1)"
"comp14 23c2","Im(a)<0 => k-(1) < 1"
"comp14 23c3","Im(a)<0 => 1 < k-(2)"
"comp14 311","Gamma_0 = {a}"
"comp14 312","Gamma_1 = médiatrice"
"comp14 313"," t tels que F(t) < 1"
"comp14 321","Gamma_k cercle diamètre g+ g-"
"comp14 322","centre c_k = (a-k^2b)/(1-k^2)"
"comp14 323","rayon r_k = k|a-b|/|1-k^2|"
"comp14 33","k_1 < k_2 < 1 < k_4 < k_3"
"comp14 341","équivalente équ. second degré"
"comp14 342","D_1<0 D_2>0 D_3<0 D_4>0"
"comp14 351","valeurs extrémales associées aux cercles tangents"
"comp14 352","tangence <=> |Im(c_k)| = r_k"
"comp14 361"," et pour Im(b)<0?"
"comp14 362","valeurs extrémales"
"comp14 371","vérification"
"comp14 372","M_{a;b} = 1/m_{b;a}"
