"comp2 I1a1","déf j"
"comp2 I1a2","propriétés de j"
"comp2 I1a3","quotient = -1"
"comp2 I1b","triangle équilatéral"
"comp2 I2a","existe lambda tq m' + m = 2a +2(b-a)lambda"
"comp2 I2b","existe mu tq m' - m = i mu(b-a)"
"comp2 I2c","en déduire ..."
"comp2 I3a1","w1 = (a-b)/conj(a-b)"
"comp2 I3a2","w2 = (conj(a)b - ...)/conj(a-b)"
"comp2 I3b","vérification expression symétrie"
"comp2 II11","m1 = conj(m)"
"comp2 II12","m2 = j^2 conj(m)"
"comp2 II13","m3 = j conj(m)"
"comp2 II14","m4 = - conj(m) - 1"
"comp2 II15","M1 M2 M3 équilatéral"
"comp2 II21","align <=> cercle centre -1 rayon 1"
"comp2 II22","alors A sur la droite M1 M2 M3"
"comp2 II3a1","O et M1 sur la médiatrice de M2M3"
"comp2 II3a2","existe \lambda tq \omega = \lambda e^{-i \tetha}"
"comp2 II3b","\omega = - ..."
"comp2 II3c","R^2 = rho^2 + ..."
"comp2 II41","M tq mêmes rayon: (BC) ou cercle unité"
"comp2 II42","Config1 M sur BC cercles confondus"
"comp2 II43","Config2 M sur cercle unité" 
