"compcard I11","définition j"
"compcard I12","U_3 = {1; j; j^2}"
"compcard I13","racines cubiques en général"
"compcard I2a","(u;v) (ju;j^2v) (j^2u;v)"
"compcard I2b","(u+v)^3 -3p_0(u+v)-S = 0"
"compcard I31","justifications"
"compcard I32","(u+v)^3+p(u+v)+q=0"
"compcard I4a","méthode de Cardan"
"compcard I4b","cas part. rac. égales"
"compcard I5a","z^2 + z + 1; j et j^2"
"compcard I5b","bons couples"
"compcard I5c","2cos de 2pi/9; 8pi/9; 4pi/9"
"compcard II11","tableau var cas p>0"
"compcard II12","tableau varr cas p<0"
"compcard II2","toujours une solution réelle"
"compcard II31","trois sols réelles => 4p^3+27q^2<0"
"compcard II32","4p^3+27q^2<0 => trois sols réelles"
