"I.1.a","forme complexe de l'éq normale"
"I.1.b 1","w0 w1"
"I.1.b 2","vérifier w1="
"I.2.a 1","a = "
"I.2.a 2","u = "
"I.2.b","montrer que c'est l'eq d'une droite"
"II.1","Pourquoi dte ?"
"II.2 1","bons cas pour m"
"II.2 2","|m|=1 sol module"
"II.2 3","|m|>1 sol"
"II.2 4","|m|>1 module"
"II.2 5","|m|<1 sol"
"II.2 6","|m|<1 module"
"II.3","|m|<1 :intersection vide"
"II.4.a","|m|>1 intersection deux points"
"II.4.b 1","Partie réelle nulle"
"II.4.b 2","Tangentes"
"II.4.b 3","Dessin des tangentes"
"III.1","Montrer égalité "
"III.2","forme de l'équ de (AB)"
"III.3.a","ab-cd non nul"
"III.3.b","expression pt inter m"
"III.3.c","expression conjugué de m"
"III.3.d","expressions de ab et cd"
"III.4.a 1","expression m' et m''"
"III.4.a 2","conjugués de m' et m''"
"III.4.b 1"," m' ="
"III.4.b 2"," m'' ="
"III.4.b 3"," les points sont sur Delta_m"
