"eisens 11a","c(kP) = kc(P)"
"eisens 11b","P/c(P) dans Z[X]"
"eisens 12","expression de c_k"
"eisens 13a","justifier définition"
"eisens 13b","p divise a_k0 b_l0"
"eisens 13c","c(AB) = 1"
"eisens 14","c(AB) = c(A)c(B)"
"eisens 15a","il existe q r tq ..."
"eisens 15b","qr divise c(qrQR)"
"eisens 15c","il existe S et T tq ..."
"eisens 21a","p divise b_0 ou (exclus) c_0"
"eisens 21b","p divise b_k k entre 0 et r"
"eisens 21c1","p divise a_n"
"eisens 21c2","concl il n'existe pas B et C"
"eisens 22","A Q[X]irréductible"
"eisens 31","X^n - 2 Q[X]irréductible"
"eisens 32a","(X-1)Phi_p = "
"eisens 32b","Psi_p = somme"
"eisens 32c","Psi_p Q[X]irréductible"
"eisens 32d","Phi_p Q[X]irréductible"  
