"elem1 E1a1","sauf pi/2 mod pi et pi mod 2pi"
"elem1 E1a2","2t/(1-t^2)"
"elem1 E1b1","pi/8: t^2 + 2t - 1"
"elem1 E1b2","3pi/8: t^2 - 2t - 1"
"elem1 E1c1","tan pi/8 = -1 + sqrt(2)"
"elem1 E1c2","tan 3pi/8 = 1 + sqrt(2)"
"elem1 E1c3","tableau arctan"
"elem1 E2a1","cos 4t = c^4(1-6t^2+t^4)"
"elem1 E2a2","sin 4t = c^4(4t-4t^3)"
"elem1 E2a3","tan 4t = (4t-4t^3)/(1-6t^2+t^4)"
"elem1 E2b1","pi/8 mod pi/4 "
"elem1 E2b2","sols tan -3pi/8; -pi/8; 3pi/8; pi/8"
"elem1 E2c1","les bons intervalles"
"elem1 E2c2","les bonnes expressions"
"elem1 E2c3","présentation"
"elem1 P11","P2 P3 P4"
"elem1 P12","Q2 Q3 Q4"
"elem1 P21","proposition récurrence"
"elem1 P22","P_n(cos(x)) et sin(x)Q_n(cos(x))"
"elem1 P3","-1 < t < 1: P'_n(t) = nQ_n(t)"
