"elem18 I1a1","preuve pour argsh"
"elem18 I1a2","1/\sqrt{x^2 + 1}"
"elem18 I1b1","preuve pour argch"
"elem18 I1b2","1/\sqrt{x^2 - 1}"
"elem18 I21","arctan u argument de 1+iu"
"elem18 I22","e^{i\theta(u)} = (1+iu)/\sqrt{1+u^2}"
"elem18 I3x","x(t) = argsh(t)"
"elem18 I3y","y(t) = \sqrt{1+t^2} - 1"
"elem18 I41","t = sh(x(t))"
"elem18 I42","y(t) = ch(x(t)) - 1"
"elem18 I43","trajectoire = 1/2 chainette"
"elem18 I44","dessin"
"elem18 II1","IPP avec 1/theta'"
"elem18 II2","majoration par inég triang"
"elem18 II3","majoration module intégrale"
"elem18 II4","|z(t)| <= 4/lambda"
