"elem3 1a"," = th(t)"
"elem3 1b"," = -cos(2 phi)"
"elem3 1c1","principe"
"elem3 1c2","la bonne image"
"elem3 1c2","dans le bon intervalle"
"elem3 1d1","existence unique sol >0"
"elem3 1d2","une expression de la sol"
"elem3 1d3","ln(tan(pi/4 + x/2))"
"elem3 1e1","t>=0: arcsin = arccos"
"elem3 1e2","t<=0: pi - arcsin = arccos"
"elem3 21","principe pour les deux"
"elem3 22","x=2"
"elem3 23","x=1"
"elem3 31","méthode pour linéariser"
"elem3 32","(sin(2x) + sin(6x) + sin(8x))/8
"elem3 41","égalité mod pi"
"elem3 42","égalité avec intervalles"
