
"elem4 11","domaine de définition"
"elem4 12","domaine de dérivabilité"
"elem4 13","arcsin(sin(2actan x))"
"elem4 14","2arctan x si -1 <= x <= 1"
"elem4 15","pi - 2arctan si 1 <= x"
"elem4 16","-pi - 2arctan si x <= -1"
"elem4 17","dérivée"
"elem4 18","constantes dans les intervalles"
"elem4 2a","arg entre -pi/2 et pi/2 si partie réelle > 0"
"elem4 2b1","Re et Im"
"elem4 2b2","-pi/2< un arg.<pi/2"
"elem4 2c","exp(S)"
"elem4 2d","cas t>1"
"elem4 31","arcsin cos et arccos sin dans R"
"elem4 32","sin arccos et cos arcsin dans [-1;+1]"
"elem4 33","symétries arcsin cos"
"elem4 34","graphe arcsin cos"
"elem4 33","symétries arccos sin"
"elem4 34","graphe arccos sin"
"elem4 35","1/2 cercle pour sin arccos et cos arcsin"
"elem4 41","simplification. coeff. binom."
"elem4 42","somme 2^p (p parmi p+q)"
"elem4 101","somm. sin/cos"
"elem4 102","somm. C sin"
