"elliptiques 11","F définie dérivable dérivée"
"elliptiques 12","F impaire"
"elliptiques 2","T = 2K"
"elliptiques 3","F(x + \pi) = F(x) + T"
"elliptiques 41","F(x) >= x"
"elliptiques 42","F bij stric croiss R dans R"
"elliptiques 5","sn est 2T périodique"
"elliptiques 61","sn et cn dérivables"
"elliptiques 62","sn' = dn cn"
"elliptiques 63","cn' = - dn sn"
"elliptiques 7a1","theta' = "
"elliptiques 7a2","theta'' + ...= 0 "
"elliptiques 7a3","theta(0) = theta_0"
"elliptiques 7a4","theta'(0) = 0"
"elliptiques 7b","theta est 2T/omega périodique"
