"engel 1a","convergence série géométrique"
"engel 1b","inégalité s_n<=s_{p-1}+1/q_1 ..."
"engel 1c1","convergence s_n"
"engel 1c2","limite dans ]0;1]"
"engel 2a","stationnaire => rationnel"
"engel 2b1","q_1 = 1 + partie entière de 1/x"
"engel 2b2","q_{k+1} = 1 + partie entière ..."
"engel 3a","inég. suites => x < x'"
"engel 3b","application injective"
"engel 4a","0 < \beta(x) \leq x"
"engel 4b","étude locale de \beta"
"engel 4c","\beta continue en 0"
"engel 4d","graphe"
"engel 5a","convergence suite x_n"
"engel 5b","r(x)=0 => x_n stat. valeur 1/q"
"engel 6a","tout elt de ]0;1] admet un del de Engel"
"engel 6b","\beta(a/b) = (a-r)/b (r reste div a par b)"
"engel 6c","stationnaire <=> rationnel"
"engel 71","dev 1/2: 3 3 3 3 ..."
"engel 72","dev 3/4: 2 3 3 3 ..."
"engel 8","dev 1/pi: 4 4 11 45 70 1203 ..."
