"eqd16 I1","f_1 sol de E_1"
"eqd16 I2","ensemble des sol de E_1"
"eqd16 I3","ensemble des sol de S_1"
"eqd16 I4","pb de Cauchy pour S_1"
"eqd16 II11","sol de la 2eme eq homog"
"eqd16 II12","sol de la 2eme eq"
"eqd16 II13","ensemble des sol de S_2"
"eqd16 II2","pb de Cauchy pour S_2"
"eqd16 III1","E_2 vérifiée par 2f-g"
"eqd16 III2","E_3 vérifiée par -f+g"
"eqd16 III31","ensemble sol de E_2"
"eqd16 III32","ensemble sol de E_3"
"eqd16 III4","ensemble sol de S_3"
"eqd16 III5","pb de Cauchy pour S_3"
