"eqd4 1","linéarité"
"eqd4 21","(2) sol eq homogène"
"eqd4 22","(2) sol particulière"
"eqd4 23","(2) sol paires"
"eqd4 24","(2) sol impaires"
"eqd4 25","(3) sol eq homogène"
"eqd4 26","(3) sol particulière"
"eqd4 27","(3) sol paires"
"eqd4 28","(3) sol impaires"
"eqd4 31","parties paires et impaires: unicité"
"eqd4 32","parties paires et impaires: existence"
"eqd4 41","eq diff u'' + u = cos"
"eqd4 42","eq diff v'' - v = x"
"eqd4 43","forme d'une solution"
"eqd4 44","tte fction de cette forme est sol"
