"farey prel","encadrement du médian"
"farey I1a","M2; M3; M4; 10 premiers de M5"
"farey I1b","éléments de F_{i-1} dans Mi précédents"
"farey I1c","2^n éléménts dans M_n$
"farey I2a","encadrement => q+q'\leq q''"
"farey I2b","consécutifs => médian est le seul possible entre"
"farey I3a","parmi 2 conséq de F_{n+1} 1 dans F_n"
"farey I3b","x dans F_n et y dans F_{n+1} => ..."
"farey I4","prop P_n"
"farey I5a","encadrement => consécutifs"
"farey I5b","intersection et médian"
"farey I6","encadrement et p'q-pq'=1 => consécutifs"
"farey II1","tangents ssi p'q-pq'=1"
"farey II2","coordonnées du centre"
"farey II3","cercle tangent:C_{(p+p')/(q+q')}"
"farey II4","tangents à l'axe des x ..."
"farey III","principe des tiroirs"
