"fnGene P11","énoncé f de L"
"fnGene P12","preuve f de L"
"fnGene P2","1/u + t/u^2 + t/u^3 + ..."
"fnGene I11","I = ](-1-sqrt{5})/2;(-1+sqrt{5})/2["
"fnGene I12","f_0 = 1; f_1 = 1; f_2 = 2; f_3 = 3"
"fnGene I2","\phi_n = f_n"
"fnGene I3","1 + \phi0 + \phi_1 + ... =\phi_{n+2}"
"fnGene I4a","décomp elts simples"
"fnGene I4b","expr \phi_n suites géom"
"fnGene II11","d_0 = 1; d_1 = 0"
"fnGene II12","d_2 = 1 ; d_3 = 2"
"fnGene II21","\delta_1 = 0 ; \delta_2 = 1"
"fnGene II23","\delta_3 = 2"
"fnGene II3","justif 1 = somme ..."
"fnGene II4","justif d_n = \delta_n"
"fnGene II51","\delta_n = n!( ...)"
"fnGene II52","(-1)^n/n! = ..."
"fnGene III11","p_0 = 1 ; p_1 = 1"
"fnGene III12","p_2 = 2"
"fnGene III13","p_3 = 5"
"fnGene III21","\pi_1 = 1 ; \pi_2 = 2"
"fnGene III22","\pi_3 = 5"
"fnGene III3","p_{n+1} = somme ..."
"fnGene III4","p_n = \pi_n"
