"fonc2 I1","cos est solution"
"fonc2 I21","ch(x+y)=sh x sh y + ch x chy"
"fonc2 I22","ch est solution"
"fonc2 I3","f_alpha solution"
"fonc2 I4a","f(0)= 0 ou 1"
"fonc2 I4b","f(0)=0 => f=0"
"fonc2 I4c","f(0)=1 => f paire"
"fonc2 II1a","f(0)=1 et f admet un zéro >0"
"fonc2 II1b","E admet une borne inf a"
"fonc2 II1c1","f(a)=0"
"fonc2 II1c2","f(a)=0 => a>0"
"fonc2 II1d",',0<=x<a =>f(x)>0"
"fonc2 II2a","f(a/2^q) = ..."
"fonc2 II2b","En déduire f(a/2^q) = g(a/2^q)"
"fonc2 II2c","f(x)=g(x) pour x dans D_a"
"fonc2 II31","f=g"
"fonc2 II32","de la forme cos(lambda x)"
"fonc2 III11","croissante et majorée par 1"
"fonc2 III12","limite = 1"
"fonc2 III2a"," f(x) >= 1/sqrt(2)"
"fonc2 III2b," f(x) >= 1"
"fonc2 III3","existe alpha ... ch(alpha x)"
