"gamma I1","encadrement par IAF"
"gamma I21","u_n décroissante"
"gamma I22","minorée : 1/n <= u_n"
"gamma I23","convergence de u_n"
"gamma I3a","f_k >0 sur intervalle ouvert (factorisation)"
"gamma I3b","preuve de l'encadrement"
"gamma I4","preuve de 1/2 <= gamma <= 1"
"gamma II11","variations et signe de g_1"
"gamma II12","variations et signe de g_2"
"gamma II2","encadrement de u_n - u_{n+1}"
"gamma II3a","encadrement somme des 1/k^2"
"gamma II3b","encadrement somme des 1/k^3"
"gamma II3c","encadrement u_n - gamma"
"gamma II4","plus petit n = 10"
