"harmint 1a0","I_0 = \pi/4"
"harmint 1a1","I_1 = ln(2)/2"
"harmint 1a2","I_2 = 1 - \pi/4"
"harmint 1a3","I_3 = (1 - ln(2))/2"
"harmint 1bK","K = 2\pi/3\sqrt{3}"
"harmint 1bL","L = \ln(2)/3 + 2\pi/3\sqrt{3}"
"harmint 2","somme = (t^i-t^{4n+i})/(1+t^2)"
"harmint 3","S_{i,n} par intégration t à t"
"harmint 41","suite intég -> 0"
"harmint 42","(S_{i,n})_n ->I_i"
"harmint 5a1","u_n = 2 S_{1,n}"
"harmint 5a2","(u_n) -> ln(2)"
"harmint 5b1","v_n = 8S_{0,n}"
"harmint 5b2","(v_n) -> 2\pi"
"harmint 6a1","E(k/3) décrit 0 2n-1"
"harmint 6a2","exist k ssi 0<= p <= n-1"
"harmint 6a3","pour p: 6p 6p+1 6p+2"
"harmint 6b","preuve par regroup par 6"
"harmint 6c","(T_n) -> L par encadrement"
