"harmonic I1a","seulement symétrique"
"harmonic I1b","voisinage 4 elts"
"harmonic I1c1","frontière: il existe ..."
"harmonic I1c2","intérieur: pour tout ..."
"harmonic I1c3","int.: compl. inter vois. = vide"
"harmonic I1c4","int.: vois. inclus dans Omega"
"harmonic I21","frontière"
"harmonic I22","intérieur"
"harmonic I23","fonction n"
"harmonic I24","bords"
"harmonic I25","coins"
"harmonic I26","pointes"
"harmonic I31","moy x^2 = x^2 + 1/2"
"harmonic I32","moy xy = xy"
"harmonic II1","frontière et intérieur"
"harmonic II2a1","système"
"harmonic II2a2","caract: les valeurs sont solutions"
"harmonic II2b","opérations élem."
"harmonic II31","tableau de f (carré)"
"harmonic II32","système"
"harmonic II33","prolongement harmonique"
"harmonic II34","fonction carré"
"harmonic II41","tableau de f (inverse)"
"harmonic II42","système"
"harmonic II43","inverse pas possible"
"harmonic II5a1","constante"
"harmonic II5a2","x et y harmoniques"
"harmonic II5b","stab par combili"
"harmonic II5c","non non oui oui"
