"inech1 I1","binôme"
"inech1 I2a","I.P.P."
"inech1 I2b","I(1;n)"
"inech1 I2c","m CoeffB I(m;n)=1"
"inech1 I3a","somme géométrique d'intégrales"
"inech1 I3b","formule par identification"
"inech1 II1","d_n de 1 à 9"
"inech1 II2a","d_nI(m;n) entier"
"inech1 II2b","mB(n;m) divise d_n"
"inech1 II31","mB(2m;m) divise"
"inech1 II32","(m+1)B(2m+1;m+1) divise"
"inech1 II33","(2m+1)B(2m;m) divise"
"inech1 II34","m(2m+1)B(2m;m) divise"
"inech1 II4","m2^{2m}<d_{2m+1}"
"inech1 III1a","d_n >= 2^n pour n>= 9"
"inech1 III1b"," n tq d_n >= 2^n ?"
"inech1 III2a","existence m_p"
"inech1 III2b","d_n <= n^{pi(n)} pour n>= 9"
"inech1 III3a","inégalité pour n>= 9"
"inech1 III3a"," n tels que inégalité ?"
