"intGauss 1","convergence de l'intérale en +infty"
"intGauss 2a","g'(x)=-2f'(x)f(x)"
"intGauss 2b","g(x)=Pi/4 - f^2(x)"
"intGauss 2c1","g -> 0 en +infty"
"intGauss 2c2","valeur intégrale de Gauss"
"intGauss 3a1","inégalité gauche"
"intGauss 3a2","inégalité droite"
"intGauss 3b","encadrement intégral"
"intGauss 3c1","inégalité gauche (chgt v cos)"
"intGauss 3c2","inégalité droite (chgt v tan)"
"intGauss 3c3","inégalité droite (majoration)"
"intGauss 3c4","valeur par encadrement ou PLI"
"intGauss 4a","Calcul de I_a avec coordonnées polaires"
"intGauss 4b","Calcul de J_a"
"intGauss 4c1","encadrement"
"intGauss 4c2","conclusion"
