"Eintcurv I1a","équ cart x^2 + y^2/(cos^2 phi) = 1"
"Eintcurv I1b","ellipse; axe foc Ox; c=sin phi"
"Eintcurv I2a","matrice dans B_phi"
"Eintcurv I2b1","j_phi (0;cos(phi);sin(phi))"
"Eintcurv I2b2","matrice dans B"
"Eintcurv I2c1","M in C <=> 0 < theta < pi"
"Eintcurv I2c2","(cos(theta);cos(phi)sin(theta))"
"Eintcurv II1","calcul intégrale"
"Eintcurv II2","calcul intégrale curviligne"
"Eintcurv III1a","existence epsilon"
"Eintcurv III1b1","cos phi = (k/u)"
"Eintcurv III1b2","sin phi = || k wedge u ||"
"Eintcurv III1b3","0 < phi < pi/2"
"Eintcurv III2","expression de J"
"Eintcurv III3a","(J/m_0)"
"Eintcurv III3b","0< theta_0 et theta_1 < pi"
"Eintcurv III4","formule cos(theta_0)tan(phi)"
