"integ10 11","f_1(x)=2x"
"integ10 12","f_2(x)=4\sqrt{2}/3 x^{3/2}"
"integ10 21","existence a_n et b_n avec f. de récurrence"
"integ10 22","b_n=2-2^{1-n}"
"integ10 23","expression a_{n+1}"
"integ10 3a","formule avec somme"
"integ10 3b1","formule de Taylor"
"integ10 3b2","En déduire encadrement"
"integ10 3c1","Encadrement entre n et n+2"
"integ10 3c2","Equivalent ln(a_n)"
"integ10 4","convergence et limite x^2"
"integ10 5a11","a_n >1"
"integ10 5a12","a_nb_n >= 2"
"integ10 5b1","u_n décroissante"
"integ10 5b2","M_n et M_n -> 0"
