"inv I1","descriptions géométriques"
"inv I2","équivalence imag"
"inv I31","D(u) -> C*(1/2u barre)"
"inv I32","Delta(u) -> Delta(u)"
"inv I33","C*(u) -> D(1/2 u barre)"
"inv I34","C(u;r) -> C(u';r')"
"inv I35","tableau"
"inv II11","orth1 D(u) D(v)"
"inv II12","orth2 D(u) Delta(v)"
"inv II13","orth3 D(u) C*(v)"
"inv II14","orth4 D(u) C(v;rho)"
"inv II15","orth5 C*(u) C*(v)"
"inv II16","orth6 C(u;r) C*(v)"
"inv II21","conservation orth 1"
"inv II22","conservation orth 2"
"inv II23","conservation orth 3"
"inv II24","conservation orth 4"
"inv II25","conservation orth 5"
"inv II26","conservation orth 6"
"inv II3","cercles concentriques"
