"invquad I1","sous-anneau"
"invquad I2","conjugaison: automorphisme"
"invquad I3","norme: produit"
"invquad I4","inversible ssi de norme 1"
"invquad II1","tableaux"
"invquad II21","I_+ ss-groupe"
"invquad II22","I_++ ss-groupe"
"invquad II3","pas que 1 dans I_++"
"invquad III","dessin hyperboles"
"invquad IV11","z dans I_++ => x>0"
"invquad IV12","z >1 dans I_++ => y>0"
"invquad IV2","X admet un min"
"invquad IV3","I_++ >1 admet un min noté m"
"invquad V1","I_++ engendré par m"
"invquad V2a","z^2 dans I_++"
"invquad V2b","existe w dans I_++ tq m=w^2"
"invquad V2c","I_+ engendré par w"
"invquad VI11","d=2 I_++ engendré par 3+2r2"
"invquad VI12","d=2 I_+ engendré par 1+r2"
"invquad VI2a","pas de x y"
"invquad VI2b","I_++ = <2+r3>"
"invquad VI2c","solutions par suite récurrente"
