"irrate2 I1a","x_n -> 0"
"irrate2 I1b","l^n/n! cvge 0"
"irrate2 I2","f de Leibniz"
"irrate2 I2a","k<n dériv nulles en 0 et 1"
"irrate2 I2b1","Expressions dérivées et v entières"
"irrate2 I3","IPP itérée"
"irrate2 I4a","=> omega rationnel"
"irrate2 I4bi","=> inclus dans Za"
"irrate2 I4bii","=> Za inclus dans ..."
"irrate2 I5a","k_n= 0 à partir d'un certain rang"
"irrate2 I5b","=> omega irrationnel"
"irrate2 II11","suites adjacentes"
"irrate2 II12","u_n < e < v_n"
"irrate2 II21","n!u_n entier"
"irrate2 II22","e irrationnel"
"irrate2 II31","d(U_n) = 2n"
"irrate2 II32","d(L_n) = n"
"irrate2 II4a1","T_n(x) = (-x)^n..."
"irrate2 II4a2","T_n(x) non nul"
"irrate2 II4b1","0 <= t(1-t) <= 1/4"
"irrate2 II4b2","maj intégrale"
"irrate2 II4b3","max(1;e^x) par IAF"
"irrate2 II4c","cvge vers 0"
"irrate2 II5a","expression intégrale"
"irrate2 II5b","polynômes P_n et Q_n"
"irrate2 II61","r dans N => e^r irrat"
"irrate2 II62","r dans Q => e^r irrat"
"irrate2 II61","alpha dans Q => \ln(\alpha) irrat"
