"isogo I11";"=> images par rot"
"isogo I12";"=> (x/y)"
"isogo I2";"{x,...} isogonale"
"isogo I3a";"theta=2*pi/3 et ..."
"isogo I3b1";"B=A"
"isogo I3b2";"pas à 4 élts"
"isogo II1a";"pas 1 ni -1"
"isogo II1b1";"v_i"
"isogo II1b2";"(v_i/v_j)"
"isogo II1c";"k=4 et beta=-1/3"
"isogo II2";"les deux (mu,nu)"
"isogo III1";"déterminant"
"isogo III21";"égalité matricielle"
"isogo III22";"partie libre"
"isogo III3";"au plus dim E + 1"
"isogo IV11";"base"
"isogo IV12";"composantes (-1,-1,-1)"
"isogo IV21";"unicité m_i"
"isogo IV22";"existence m_i"
"isogo IV3a";"=>f(T)=T"
"isogo IV3b1";"v\in T"
"isogo IV3b2";"||v||^2"
"isogo IV3b3";"somme des m_im_j=0"
"isogo IV3b4";"=>F(B)=B"
"isogo IV4a";"prolongement linéaire"
"isogo IV4b";"orthogonal"
"isogo IV4c";"image de u_4"
"isogo IV4d1";"ss-grpe + morphisme"
"isogo IV4d2";"bijec + cardinal"
"isogo IV4e";"transpo et réflexions"
