"isoperi I1a","expression avec sin => >0"
"isoperi I1b"","étude tan x -x => ntan(pi/n)>= pi"
"isoperi I2a","régulier => équilatéral"
"isoperi I2b","rayon |a|; centre b"
"isoperi I2c1","b = moyenne des z_i"
"isoperi I2c2","a = ((n-1)z_0 - z_1 - ...)/n"
"isoperi I3","exemple : équilatéral et non régulier"
"isoperi I4","sqrt(n) si congru 0 mod pi; 0 sinon"
"isoperi I5","vérif par double somme"
"isoperi II11","A(Z_barre) = - A(Z)_barre"
"isoperi II12","A(Z+c) = A(Z)"
"isoperi II2a1","L(Z) = 2n|a|sin(pi/n)"
"isoperi II2a2","E(Z) = 4n|a|^2 sin^2(pi/n)"
"isoperi II2a3","|A(Z)| = (n/2)|a|^2 sin(2pi/n)"
"isoperi II2b1","|A(Z)|/L(Z)^2"
"isoperi II2b2","|A(Z)|/E(Z)"
"isoperi II2b3","L(Z)^2/E(Z)"
"isoperi II3","Cauchy - Schwarz"
"isoperi II4a1","Expression pour A(Z)"
"isoperi II4a2","Expression pour E(Z)"
"isoperi II4b","E(Z)-4tan(pi/n) A(Z) = ..."
"isoperi II4c","|A(Z)|/E(Z) <= 1/(4tan(pi/n))"
"isoperi II5a","A(Z_1) = A(Z_0)"
"isoperi II5b","Z_0 équilatéral"
"isoperi II5c","4pi |A(Z)| <= L(Z)^2"
