"jacobi I1","positivité par tableau de valeurs"
"jacobi I21","équivalence des propriétés"
"jacobi I22","justification de l'orthogonalité"
"jacobi II11","S' symétrique"
"jacobi II12","s'_{i } = <e'_i / f(e'_j)>"
"jacobi II2a1","s'_{p p} = "
"jacobi II2a2","s'_{q q} = "
"jacobi II2a3","s'_{p p} + s'_{q q} = s_{p p} + s_{q q}"
"jacobi II2b","s'_{p q} = "
"jacobi II2c","s'_{p k} et s'_{q k}"
"jacobi II3a","s'_{p q} = 0 ssi équation"
"jacobi II3b","unique solution dans ]-1 ; 1["
"jacobi II41","s_{p p} - s_{q q} = "
"jacobi II42","s'_{p p} - s_{p p } = "
"jacobi II43","s'_{q q} - s_{q q} = "
