"Ejongl I11","T_b bij récip T_{-b}"
"Ejongl I12","orbites de T_0"
"Ejongl I13","orbites de T_1"
"Ejongl I14","orbites de T_b pour b>1"
"Ejongl I15","T_b^m = T_{mb}"
"Ejongl I2a1","réflexive et transitive"
"Ejongl I2a2","exple pas antisym"
"Ejongl I2b1"," ~ équivalence"
"Ejongl I2b2","classe équiv = orbite"
"Ejongl I2b3","Les orbites forment une partition"
"Ejongl I2c","x <= F(x) => preceq antisymétrique"
"Ejongl II1a","expression de F_\sigma"
"Ejongl II1b1","bijective et bij récip"
"Ejongl II1b2","orbites de F_\sigma"
"Ejongl II1c","f_\sigma p-périodique"
"Ejongl II2a1","Exple: orbites de F_\sigma"
"Ejongl II2a2","Exple: valeurs de f_\sigma"
"Ejongl II2b","T_b o F_ _sigma bij et récip."
"Ejongl II31","commutation"
"Ejongl II32","\theta et tableau"
"Ejongl III1","existence b"
"Ejongl III2","télescopage et orbite partielle"
"Ejongl III3a","toute orbite est infinie"
"Ejongl III3b","il existe p tq ..."
"Ejongl III3c1"," .. <= v - u + h"
"Ejongl III3c2","v - u - h <= ..."
"Ejongl III3d","encadrement m_n(O)"
"Ejongl III4","converge vers le nombre d'orbites"
