"machin I 11","e^{i\alpha}/ sin\alpha"
"machin I12","arg alpha ou alpha + pi"
"machin I2","caractérisation"
"machin I3","pi/4 = 2arctan 1/2 - arctan 1/7"
"machin I4","formule de Dodgson"
"machin II1","tableau des A et B"
"machin II21","formules m+1"
"machin II22","formules -x"
"machin II23","formules dérivées"
"machin II31","solutions de A_m(x) = B_m(x)"
"machin II32","la plus grande cotan(pi/4m)"
"machin II41","décroissante par dérivée négative"
"machin II42","limites 1"
"machin III11","(x;y) dans C =>"
"machin III12"," ... => (x;y)dans C "
"machin III2","toutes les formules de Machin"
"machin IV1","17+7i --> z_4 = -33290"
"machin IV2","parties imag strict décroissantes"
"machin IV3a","algo termine"
"machin IV3b","somme d' arctan"
