"mantel prelim","inégalité de Cauchy-Schwarz"
"mantel I1a","tableau"
"mantel I1b","S- S+ S"
"mantel I1c","non conservatif et justification"
"mantel I2a1","inclus dans l'ensemble des arêtes"
"mantel I2a2","une arête est dans les deux unions"
"mantel I2b","égalité car les unions sont des partitions"
"mantel I31","regroupe arêtes de même sommet final"
"mantel I32","regroupe arêtes de même sommet initial"
"mantel I4a1","triangle =>"
"mantel I4a2"," condition => triangle"
"mantel I4b","pas de triangle => T(a)<= S"
"mantel I5","graph orienté conserv. => inégalité"
"mantel I6","Théorème de Mantel"
"mantel II11","G orienté à partir d'un G non orienté"
"mantel II12","propriétés"
"mantel II2","O > S^2/4 => triangle"
"mantel II3","n_1 n-2 arêtes"
"mantel II41","existence graphe"
"mantel II42","Thm Mantel optimal"
 
