"mat5 I1","Xn fini 2^{n^2}
"mat5 I2","|det M| <= n!"
"mat5 I3","Yn convexe"
"mat5 I41","|val p|<= n"
"mat5 I42","mat avec 1; col 1 vp =n"
"mat5 I5a","liste des 6 elts inversibles de Xn"
"mat5 I5b1","X'2 engendre M2"
"mat5 I5b2","X'n engendre Mn"
"mat5 II1","max fini sup borné"
"mat5 II2","suite (y_k) croissante"
"mat5 II31","det(M)=(-1)^{n-1}(n-1)"
"mat5 II32","suite (y_k) -> + infty"
"mat5 II4a","N' tq det(N) <= det(N')"
"mat5 II4b","x_n = y_n"
"mat5 III11","P_\sigma P_\sigma'"
"mat5 III12","transposée P_\sigma"
"mat5 III2","det mat orth = +- 1"
"mat5 III3","P_n = X_n \cap O_n"
"mat5 III4a1","vect p pour \omega"
"mat5 III4a2","vect p pour u dans Un"
"mat5 III4b","vp et vect p pour permut quelconque"
"mat5 III51","inverse de M coeff dans N"
"mat5 III52","M de permutation"
"mat5 III53","de permut => ... fini"
"mat5 IVA1","proba p^n + (1-p)^n"
"mat5 IVA2","loi binomiale"
"mat5 IVA3","loi Xi Xj avec cas"
"mat5 IVA4a","X(\omega) dans X_n"
"mat5 IVA4b","0 <= trace <= n rg 0 ou 1"
"mat5 IVA4c","carac proj orth"
"mat5 IVA51","loi esp vari de tr"
"mat5 IVA52","loi esp vari de rg"
"mat5 IVA61","M^k = S^{k-1}M"
"mat5 IVA62","proba cgce = 1-(1-p)^n"
"mat5 IVB11","N1 binom m p"
"mat5 IVB12","N2 sac N1=i: binom m-i p"
"mat5 IVB13","pas indépendantes"
"mat5 IVB2","prob Tij = k : q^{k-1}p"
"mat5 IVB3","limite q^{k-1}"
"mat5 IVB41","nb de 1 après r passages"
"mat5 IVB42","loi de S"
