"mat6 I1","expression intervalle"
"mat6 I2","T en dim 3"
"mat6 I3","stab par combi cvxe: récurrence"
"mat6 I4a","e_i pt extrémaux"
"mat6 I4b1","existe t tq x_{t} et x_{-t} dans T"
"mat6 I4b2","pas extrémal (milieu)"
"mat6 I4c","extrémal => e_i"
"mat6 II1a1","P_\theta P_\sigma"
"mat6 II1a2","trans P_\theta"
"mat6 II1a3","det P_\sigma = signature de \sigma"
"mat6 II2","somme termes BY = 1"
"mat6 II3a",bistoc <=> LB = L et BC = C"
"mat6 II3b","pdt bistoch est bistoch"
"mat6 II3c","combi cvxe bistoch est bistoch"
"mat6 II4","mat permut est extrémal"
"mat6 II5","il existe I tel que ..."
"mat6 II6a","il existe i_1 ... énoncé faux"
"mat6 IIjb","il existe intervalle J ... énoncé faux"
"mat6 II7","extrémal => matrice de permut"
"mat6 III11","S_X fini moins de n! éléments"
"mat6 III12","conserv par permut des deux côtés"
"mat6 III21","il existe fonction \pi ..."
"mat6 III22","=> exist B bistoch X = BY"
"mat6 III23","b_{ij}= sum \pi(\sigma) \sigma(j)=i"
"mat6 III3","justif décroiss"
"mat6 III4a1","c comme somme"
"mat6 III4a2","somme c = j"
"mat6 III4b","majorations avec décompo indiquée"
"mat6 III4c","... erreur énoncé"
"mat6 III5a","p >= 2: au moins 2 valeurs distinctes"
"mat6 III5b","y_j < x_j <= x_i < y_i"
"mat6 III5c1","\lambda = ... "
"mat6 III5c2","Y' majorise X"
"mat6 III6","Y majorise X => X = BY algorith"
