"monextr 1a","les 12 A tq f_A croissante"
"monextr 1b","les 9 A tq f_A décroissante"
"monextr 2a","restr. croiss. singletons OK"
"monextr 2b","ip:1 1 2 3 3 1"
"monextr 3a","restr. décr. singletons OK"
"monextr 3b","jp: 1 2 1 1 2 3"
"monextr 3c","tableau (ip ; jp)"
"monextr 4a","f(p)<f(q)=>i_p<i_q"
"monextr 4b","f(q)<f(p)=>j_p<j_q"
"monextr 5","p->(i_p ; j_p) injective"
"monextr 6","théorème Erdös-Szekeres"
"monextr 7a1","exple de D tq f_D déc."
"monextr 7a2","max de card A"
"monextr 7b1","exple de C tq f_C croiss."
"monextr 7b2","max de card B"
"monextr 7c","on ne peut étendre à m = ab"
