"nbbell I1","ens partitions fini"
"nbbell I21","k > n : S(n;k) = 0"
"nbbell I22","S(n;1) = 1"
"nbbell I23","S(n;n) = 1"
"nbbell I24","S(4;3) = 6 et énum"
"nbbell I3","S(n;k) = S(n-1;k-1) + kS(n-1;k)"
"nbbell II1","B_n = nb partitions"
"nbbell II2","B_n = sum (k parmi n)B_k"
"nbbell II3a","f'(x) = e^x f(x)"
"nbbell II3b","f^{(n)}(0) = B_n"
"nbbell II41","reste int r_n"
"nbbell II42","reste intégral R_n"
"nbbell II43"," somme <= e"
"nbbell II51"," <= e^2/(n+1) M_n"
"nbbell II52","suite majorée"
"nbbell II6","suite R_n(x) -> 0"
"nbbell III1","(H_i) base"
"nbbell III2a","H_{k+1}+kH_k = XH_k"
"nbbell III2b","En déduire X^n = som S(n;k)H_k"
"nbbell III3a","p^n"
"nbbell III3b","part. attachée à une fonction"
"nbbell III3c","p(p-1)...(p-k+1)"
"nbbell III3d","p^n = ... en classant les fncts"
"nbbell IV11","degré n-1 coeff dom na"
"nbbell IV12","noyau deg 0; image tout"
"nbbell IV2","unique pol deg n+1"
"nbbell IV2b1","U_1 = X(X+1)/2"
"nbbell IV2b2","U_2 = X(X+1)(2X+1)/6"
"nbbell IV2c","U_n(p) = som k^n"
"nbbell IV31","encadrement intégrales"
"nbbell IV32","équiv p^{n+1}/(n+1)"
"nbbell IV4","matrice dans base (H_i)"
"nbbell IV5","express U_n"
