"nbcat1 I11","1; 2; 5; 14"
"nbcat1 I12","déterminants 1; 1"
"nbcat1 I2","equiv 4^n / sqrt{\pi n}"
"nbcat1 I3a","4pq<= 1 = ssi 1/2"
"nbcat1 I3b","1-sqrt = 2 min"
"nbcat1 I4a","w_0 = \pi/2"
"nbcat1 I4b","IPP 2kw_k = (2k-1)w_{k-1}"
"nbcat1 I4c","expression w_k"
"nbcat1 II1","a_l en dominos"
"nbcat1 II21","c_0=c_1=c'_1=1"
"nbcat1 II22","c'_n = c_{n-1}"
"nbcat1 II3a","c'kc_{n-k}=c_{k-1}c_{n-k}"
"nbcat1 II3b1","c_n comme somme"
"nbcat1 II3b2","c_n=C_n"
"nbcat1 III1","montrer dérivée n sqrt{1-x}"
"nbcat1 III2a","dével limité"
"nbcat1 III2b","somme a_{k}a_{n-k}=0"
"nbcat1 III3a","cours f Tay rest int"
"nbcat1 III3b","0 <= (x-t)/(1-y)<= x"
"nbcat1 III3c","suite r_n(x) -> 0"
"nbcat1 III3d","somme série"
"nbcat1 III4a","prolgt par 1 en 0"
"nbcat1 III4b","c_n = -4^{n+1}a_{n+1}/2"
"nbcat1 III5","c_n = C_n par même relation"
"nbcat1 IV1a","proba p^{n-1}q^n"
"nbcat1 IV1b","p(R_n) = C_{n-1}p^{n-1}q^n"
"nbcat1 IV21","équiv "
"nbcat1 IV22","cvgce série de R"
"nbcat1 IV23","proba d'un retour"
"nbcat1 IV3a1","1 si p<1/2"
"nbcat1 IV3a2","q/p si p>1/2"
"nbcat1 IV3b1","convergence série np(R_n)$
"nbcat1 IV3b2","espérance du premier retour"
"nbcat1 IV3c","expression de l'espérance"
"nbcat1 V11","chgt de v"
"nbcat1 V12","u_0 = 1"
"nbcat1 V2a","existence et valeur"
"nbcat1 V2b","expression u_n"
"nbcat1 V2c","u_n = C_n"
"nbcat1 V3","pdt scalaire"
"nbcat1 V4a1","matrice M"
"nbcat1 V4a2","M^{-1} : passage dans l'autre sens"
"nbcat1 V4a2","pdt : matrice des C"
"nbcat1 V4b","déterminant = 1" 
