"newton I1a","lip => continue"
"newton I1b1","existence pt fixe"
"newton I1b2","unicité pt fixe"
"newton I2a1","inégalité"
"newton I2a2","converge vers alpha"
"newton I2b","|x_{n+p}-x_n|<= ..."
"newton I2c","|x_n-alpha|<= ..."
"newton I3a","|g'(alpha)|<= k"
"newton I3b","limite = dérivée"
"newton II1a","unique solution"
"newton II1b","abscisse point intersection"
"newton II2a","g est C^1"
"newton II2b1","g(alpha) = alpha"
"newton II2b2","g'(alpha) = 0"
"newton II3a","dessin d'un graphe"
"newton II3b1","bien défini et >= x_n"
"newton II3b2","inégalité taux"
"newton II3b3","<= alpha"
"newton II3c","converge vers alpha"
"newton II4a","existe h > 0"
"newton II4b","J est g-stable"
"newton II4c","g k-lip"
"newton II4d","converge vers alpha"
