"operstoces 1a1","T(f) continue"
"operstoces 1a2","T linéaire"
"operstoces 1b1","T(u) = u"
"operstoces 1b2","positivité"
"operstoces 1c1","T(f) dérivable"
"operstoces 1c2","expression dérivée"
"operstoces 1d1","T injective"
"operstoces 1d2","T non surjective"
"operstoces 2a","Intégration par parties"
"operstoces 2b","inégalité"
"operstoces 3a1","définition N_c"
"operstoces 3a2","N_c(T(f)) <= N_c(f)"
"operstoces 3b","majoration accroissement"
"operstoces 3c","majoration entre x et 0"
"operstoces 4a1","défini si Re(\mu)>0"
"operstoces 4a2","p_\mu vecteur propre"
"operstoces 4b","module vp <= 1"
"operstoces 4c1","equa diff"
"operstoces 4c2","spectre"
"operstoces 4c3","T(v)=v ssi v cste"
"operstoces 5a1","T(f)(x) <= f(x)"
"operstoces 5a2","T(f) croissante"
"operstoces 5b","x_n cvgte"
"operstoces 5c1","l continue"
"operstoces 5c2","l constante de valeur f(0)"
