"papota 1a","factoriser phi"
"papota 1b","phi s'annule deux fois"
"papota 21","équ cartésienne de la parabole"
"papota 22","A sur la parabole"
"papota 3a","équ tangente D_t en M(t)"
"papota 3b","coordonnées projeté orth N(t)"
"papota 4a1","calcul de x'"
"papota 4a2","calcul de y'"
"papota 4a3","tableau de variation des coord."
"papota 4b","branches infinies"
"papota 4c1","A dans E = N(-1)"
"papota 4c2","A point stationnaire"
"papota 4c3","tangente direction i+j en A"
"papota 5a","condition alignement par dét 3x3"
"papota 5b1","déterminant 1 t t^2"
"papota 5b2","déterminant 1 t t^3"
"papota 5c","condition alignement de trois N"
"papota 6a","définition du tangentiel"
"papota 6b","point égal à son tangentiel"
"papota 6c","pts alignés => tangentiels alignés"
