"pentag 1a1","conjugué(omega) = 1/ omega = omega^4"
"pentag 1a2","conjugué(omega^2) = 1/ omega^2 = omega^3"
"pentag 1a2","= Re(omega^2) ; =  Re(omega^2)" 
"pentag 1b","1+omega + ... + omega^4 =0"
"pentag 2a","alpha et beta réels "
"pentag 2b1","alpha + beta = -1"
"pentag 2b2","alpha beta = -1"
"pentag 2b3","z^2 + z - 1=0"
"pentag 31","Oy: (0;1)(0;-1)"
"pentag 32","Ox: (alpha;0) (beta;0)"
"pentag 33","centre(-1/2;0)"
"pentag 34","rayon \sqrt{5}/2"
"pentag 41","bonnes absc =>sur pentag"
"pentag 42","construction"
